payment_id,order_id,payment_method,payment_status,payment_date
321,321,Pix,Pendente,2024-11-26 14:53:38
322,322,Cartão de Crédito,Aprovado,2025-05-18 13:07:12
323,323,Cartão de Crédito,Pendente,2024-03-14 14:04:42
324,324,Cartão de Crédito,Recusado,2024-12-20 18:43:51
325,325,Boleto,Pendente,2025-03-23 20:07:19
326,326,Pix,Recusado,2025-01-14 03:08:09
327,327,Boleto,Pendente,2023-10-12 19:14:32
328,328,Cartão de Crédito,Recusado,2025-04-27 19:44:51
329,329,Pix,Recusado,2024-04-06 19:18:28
330,330,Pix,Recusado,2025-05-23 09:20:15
331,331,Pix,Aprovado,2024-03-15 07:48:18
332,332,Boleto,Pendente,2023-08-05 05:38:03
333,333,Boleto,Recusado,2024-10-25 23:27:39
334,334,Pix,Aprovado,2024-12-30 20:50:52
335,335,Boleto,Recusado,2024-11-07 13:54:38
336,336,Boleto,Pendente,2025-02-25 06:57:53
337,337,Pix,Aprovado,2023-12-10 07:14:11
338,338,Boleto,Aprovado,2024-01-23 03:44:56
339,339,Cartão de Crédito,Recusado,2024-05-07 03:56:36
340,340,Cartão de Crédito,Aprovado,2024-04-04 15:18:56
341,341,Cartão de Crédito,Pendente,2024-07-30 16:07:04
342,342,Pix,Aprovado,2023-08-06 22:58:12
343,343,Boleto,Aprovado,2023-12-24 21:18:31
344,344,Boleto,Pendente,2023-07-18 09:50:52
345,345,Cartão de Crédito,Recusado,2025-04-02 00:07:42
346,346,Boleto,Pendente,2024-04-05 08:29:48
347,347,Boleto,Recusado,2023-06-17 07:15:21
348,348,Pix,Pendente,2025-02-26 10:57:43
349,349,Cartão de Crédito,Aprovado,2025-04-27 10:14:10
350,350,Cartão de Crédito,Recusado,2025-05-28 05:45:49
351,351,Boleto,Aprovado,2025-05-11 19:01:48
352,352,Boleto,Aprovado,2024-04-09 23:21:00
353,353,Boleto,Recusado,2023-07-01 10:21:15
354,354,Boleto,Pendente,2024-12-11 11:59:45
355,355,Cartão de Crédito,Recusado,2023-12-15 09:11:33
356,356,Cartão de Crédito,Recusado,2023-09-06 10:18:33
357,357,Cartão de Crédito,Aprovado,2024-03-18 12:37:55
358,358,Boleto,Aprovado,2023-07-18 19:46:31
359,359,Cartão de Crédito,Pendente,2025-03-21 18:17:07
360,360,Boleto,Recusado,2025-03-21 21:35:11
361,361,Boleto,Recusado,2024-07-18 05:33:30
362,362,Pix,Recusado,2024-03-14 13:23:56
363,363,Boleto,Aprovado,2023-10-11 04:35:01
364,364,Boleto,Pendente,2023-08-26 04:14:41
365,365,Cartão de Crédito,Recusado,2023-08-21 21:48:31
366,366,Cartão de Crédito,Aprovado,2025-05-03 21:16:30
367,367,Cartão de Crédito,Recusado,2023-10-06 22:36:00
368,368,Pix,Recusado,2023-09-15 01:00:17
369,369,Cartão de Crédito,Recusado,2024-11-28 07:57:52
370,370,Cartão de Crédito,Aprovado,2025-02-05 03:56:00
371,371,Boleto,Recusado,2024-11-07 11:11:32
372,372,Boleto,Aprovado,2024-03-23 12:56:12
373,373,Pix,Recusado,2024-09-22 16:46:26
374,374,Pix,Recusado,2025-01-04 10:49:53
375,375,Cartão de Crédito,Pendente,2025-04-10 16:04:18
376,376,Cartão de Crédito,Recusado,2025-05-16 02:57:02
377,377,Cartão de Crédito,Aprovado,2024-09-22 19:54:35
378,378,Boleto,Pendente,2023-09-07 09:06:25
379,379,Cartão de Crédito,Pendente,2024-05-29 14:55:17
380,380,Cartão de Crédito,Pendente,2025-02-16 22:50:52
381,381,Boleto,Recusado,2025-03-27 10:28:25
382,382,Pix,Aprovado,2023-12-02 02:23:18
383,383,Pix,Recusado,2024-12-25 07:05:20
384,384,Pix,Aprovado,2024-10-13 17:28:24
385,385,Pix,Pendente,2024-09-17 04:18:44
386,386,Pix,Pendente,2025-04-06 08:53:05
387,387,Boleto,Recusado,2024-12-16 15:45:42
388,388,Pix,Pendente,2023-07-09 22:56:39
389,389,Pix,Pendente,2023-10-15 16:51:47
390,390,Boleto,Pendente,2024-01-12 19:57:02
391,391,Pix,Pendente,2024-03-26 08:21:22
392,392,Cartão de Crédito,Pendente,2025-02-20 04:30:55
393,393,Pix,Pendente,2024-08-23 17:04:43
394,394,Cartão de Crédito,Pendente,2024-07-21 07:41:03
395,395,Boleto,Recusado,2024-08-09 20:28:13
396,396,Cartão de Crédito,Pendente,2024-02-08 17:53:32
397,397,Cartão de Crédito,Pendente,2023-07-02 03:58:17
398,398,Pix,Pendente,2024-05-29 08:09:47
399,399,Boleto,Aprovado,2024-02-06 00:27:55
400,400,Boleto,Pendente,2025-01-30 17:19:46
401,401,Boleto,Aprovado,2024-07-30 17:32:42
402,402,Pix,Aprovado,2025-05-23 22:45:47
403,403,Pix,Pendente,2024-01-01 18:43:35
404,404,Cartão de Crédito,Pendente,2024-11-26 13:19:42
405,405,Cartão de Crédito,Pendente,2023-08-25 17:33:47
406,406,Cartão de Crédito,Recusado,2024-03-31 07:02:36
407,407,Cartão de Crédito,Recusado,2024-11-27 21:21:35
408,408,Pix,Aprovado,2023-08-19 10:46:41
409,409,Boleto,Pendente,2025-04-30 01:36:32
410,410,Cartão de Crédito,Aprovado,2023-06-27 05:11:27
411,411,Pix,Aprovado,2023-08-06 23:14:07
412,412,Cartão de Crédito,Aprovado,2024-01-30 01:40:55
413,413,Boleto,Aprovado,2024-08-09 14:15:53
414,414,Cartão de Crédito,Aprovado,2023-08-01 13:06:29
415,415,Cartão de Crédito,Pendente,2023-11-25 22:15:48
416,416,Cartão de Crédito,Pendente,2024-10-06 02:22:25
417,417,Boleto,Recusado,2025-03-17 23:35:28
418,418,Pix,Recusado,2025-02-23 19:33:08
419,419,Cartão de Crédito,Pendente,2025-05-19 03:48:12
420,420,Pix,Aprovado,2023-12-16 16:51:35
421,421,Pix,Recusado,2024-09-13 11:19:58
422,422,Cartão de Crédito,Recusado,2024-06-18 09:07:50
423,423,Boleto,Pendente,2024-12-31 09:45:33
424,424,Cartão de Crédito,Pendente,2023-08-26 14:37:13
425,425,Cartão de Crédito,Aprovado,2023-10-06 08:25:46
426,426,Boleto,Pendente,2023-08-11 02:25:09
427,427,Boleto,Recusado,2023-11-08 04:31:41
428,428,Boleto,Aprovado,2023-09-14 13:25:47
429,429,Boleto,Recusado,2023-10-11 18:28:50
430,430,Cartão de Crédito,Aprovado,2024-08-10 00:58:01
431,431,Boleto,Aprovado,2023-10-18 18:29:08
432,432,Boleto,Recusado,2023-11-30 12:20:09
433,433,Pix,Aprovado,2023-07-03 06:44:19
434,434,Cartão de Crédito,Pendente,2023-08-21 14:41:27
435,435,Pix,Aprovado,2024-04-03 15:31:51
436,436,Boleto,Aprovado,2023-11-08 16:17:27
437,437,Cartão de Crédito,Pendente,2024-10-29 11:45:16
438,438,Cartão de Crédito,Pendente,2023-07-22 21:29:28
439,439,Boleto,Pendente,2025-05-06 00:31:40
440,440,Boleto,Recusado,2025-03-30 19:01:54
441,441,Pix,Pendente,2023-08-19 11:10:43
442,442,Cartão de Crédito,Recusado,2024-06-12 09:32:08
443,443,Boleto,Aprovado,2024-09-09 10:41:08
444,444,Cartão de Crédito,Aprovado,2024-05-30 02:16:24
445,445,Pix,Recusado,2024-02-13 21:39:56
446,446,Boleto,Aprovado,2024-12-03 06:51:16
447,447,Cartão de Crédito,Aprovado,2023-07-04 09:54:21
448,448,Pix,Aprovado,2023-10-02 02:08:38
449,449,Cartão de Crédito,Aprovado,2025-01-15 10:25:16
450,450,Pix,Aprovado,2024-11-27 06:04:04
451,451,Pix,Recusado,2025-03-15 06:44:01
452,452,Cartão de Crédito,Recusado,2024-09-17 13:29:02
453,453,Boleto,Recusado,2024-06-03 18:31:17
454,454,Cartão de Crédito,Recusado,2023-06-14 10:18:56
455,455,Cartão de Crédito,Aprovado,2025-04-02 19:03:12
456,456,Pix,Pendente,2024-09-27 18:26:21
457,457,Pix,Recusado,2023-12-29 09:30:45
458,458,Boleto,Aprovado,2024-07-05 07:30:08
459,459,Cartão de Crédito,Aprovado,2024-04-13 00:57:22
460,460,Pix,Pendente,2024-06-07 10:00:40
461,461,Cartão de Crédito,Aprovado,2024-05-15 03:12:06
462,462,Boleto,Recusado,2023-06-26 21:15:43
463,463,Pix,Pendente,2024-08-30 09:29:30
464,464,Pix,Pendente,2024-11-19 05:48:25
465,465,Boleto,Pendente,2025-05-29 18:10:22
466,466,Cartão de Crédito,Recusado,2025-06-09 08:21:02
467,467,Pix,Recusado,2023-12-16 07:46:59
468,468,Pix,Pendente,2023-10-22 15:20:34
469,469,Pix,Pendente,2024-03-08 17:51:18
470,470,Cartão de Crédito,Recusado,2023-12-14 14:35:41
471,471,Cartão de Crédito,Recusado,2023-10-04 21:29:18
472,472,Pix,Recusado,2024-04-19 03:16:53
473,473,Pix,Aprovado,2024-05-01 07:06:28
474,474,Boleto,Aprovado,2024-01-24 21:19:41
475,475,Boleto,Aprovado,2023-11-28 01:24:59
476,476,Boleto,Aprovado,2023-08-08 15:16:39
477,477,Pix,Pendente,2023-06-29 05:24:06
478,478,Boleto,Aprovado,2024-05-03 20:34:14
479,479,Boleto,Recusado,2023-10-28 23:05:39
480,480,Boleto,Aprovado,2023-07-09 14:21:51
481,481,Boleto,Aprovado,2023-09-11 03:10:42
482,482,Pix,Pendente,2024-10-08 16:20:55
483,483,Boleto,Pendente,2024-02-26 15:38:26
484,484,Boleto,Pendente,2024-08-12 21:56:42
485,485,Cartão de Crédito,Aprovado,2023-12-15 08:01:03
486,486,Boleto,Pendente,2023-10-19 19:16:07
